Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, 0.35, 1.0, 0.7
Icon, 0.35, 1.15, 0.7
Icon, 0.35, 1.3, 0.7
Icon, 0.35, 1.45, 0.7
Icon, 0.35, 1.6, 0.7
Viewer, 0, 1.6, 0.7
Viewer, 0, 1.0, 0.7
Viewer, -0.35, 1.6, 0.7
Viewer, -0.35, 1.4, 0.7
Viewer, -0.35, 1.2, 0.7
Viewer, -0.35, 1.0, 0.7
Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, -0.35, 1.0, 0.7
Icon, -0.35, 1.15, 0.7
Icon, -0.35, 1.3, 0.7
Icon, -0.35, 1.45, 0.7
Icon, -0.35, 1.6, 0.7
Viewer, 0, 1.6, 0.7
Viewer, 0, 1.0, 0.7
Viewer, 0.35, 1.6, 0.7
Viewer, 0.35, 1.4, 0.7
Viewer, 0.35, 1.2, 0.7
Viewer, 0.35, 1.0, 0.7
Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, -0.1, 1.5, 0.7
Icon, -0.15, 1.0, 0.7
Icon, 0, 1.0, 0.7
Icon, 0.15, 1.0, 0.7
Icon, 0.1, 1.5, 0.7
Viewer, -0.35, 1.6, 0.7
Viewer, -0.35, 1.4, 0.7
Viewer, -0.35, 1.2, 0.7
Viewer, 0.35, 1.6, 0.7
Viewer, 0.35, 1.4, 0.7
Viewer, 0.35, 1.2, 0.7
Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, -0.1, 1.0, 0.7
Icon, -0.15, 1.5, 0.7
Icon, 0, 1.5, 0.7
Icon, 0.15, 1.5, 0.7
Icon, 0.1, 1.0, 0.7
Viewer, -0.35, 1.6, 0.7
Viewer, -0.35, 1.35, 0.7
Viewer, -0.35, 1.1, 0.7
Viewer, 0.35, 1.6, 0.7
Viewer, 0.35, 1.35, 0.7
Viewer, 0.35, 1.1, 0.7
Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, -0.2, 1.0, 0.7
Icon, -0.1, 1.0, 0.7
Icon, 0, 1.0, 0.7
Icon, 0.1, 1.0, 0.7
Icon, 0.2, 1.0, 0.7
Viewer, -0.35, 1.6, 0.7
Viewer, -0.35, 1.35, 0.7
Viewer, -0.35, 1.1, 0.7
Viewer, 0.35, 1.6, 0.7
Viewer, 0.35, 1.35, 0.7
Viewer, 0.35, 1.1, 0.7
Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, -0.2, 1.5, 0.7
Icon, -0.1, 1.5, 0.7
Icon, 0, 1.5, 0.7
Icon, 0.1, 1.5, 0.7
Icon, 0.2, 1.5, 0.7
Viewer, -0.35, 1.6, 0.7
Viewer, -0.35, 1.35, 0.7
Viewer, -0.35, 1.1, 0.7
Viewer, 0.35, 1.6, 0.7
Viewer, 0.35, 1.35, 0.7
Viewer, 0.35, 1.1, 0.7
Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, 0.2, 1.5, 0.7
Icon, 0.35, 1.35, 0.7
Icon, 0.35, 1.5, 0.7
Icon, -0.35, 1.35, 0.7
Icon, -0.35, 1.5, 0.7
Viewer, 0, 1.5, 0.7
Viewer, 0, 1.0, 0.7
Viewer, -0.35, 1.15, 0.7
Viewer, -0.35, 0.95, 0.7
Viewer, 0.35, 1.15, 0.7
Viewer, 0.35, 0.95, 0.7
Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, -0.2, 1.5, 0.7
Icon, 0.35, 1.35, 0.7
Icon, 0.35, 1.5, 0.7
Icon, -0.35, 1.35, 0.7
Icon, -0.35, 1.5, 0.7
Viewer, 0, 1.5, 0.7
Viewer, 0, 1.0, 0.7
Viewer, -0.35, 1.15, 0.7
Viewer, -0.35, 0.95, 0.7
Viewer, 0.35, 1.15, 0.7
Viewer, 0.35, 0.95, 0.7
Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, 0.2, 0.95, 0.7
Icon, 0.35, 1.1, 0.7
Icon, 0.35, 0.95, 0.7
Icon, -0.35, 1.1, 0.7
Icon, -0.35, 0.95, 0.7
Viewer, 0, 1.5, 0.7
Viewer, 0, 1.0, 0.7
Viewer, -0.35, 1.5, 0.7
Viewer, -0.35, 1.3, 0.7
Viewer, 0.35, 1.5, 0.7
Viewer, 0.35, 1.3, 0.7
Start
Keyboard, 0, 1.35, 0.99
VideoPlayer, 0, 1.25, 0.7
Icon, -0.2, 0.95, 0.7
Icon, 0.35, 1.1, 0.7
Icon, 0.35, 0.95, 0.7
Icon, -0.35, 1.1, 0.7
Icon, -0.35, 0.95, 0.7
Viewer, 0, 1.5, 0.7
Viewer, 0, 1.0, 0.7
Viewer, -0.35, 1.5, 0.7
Viewer, -0.35, 1.3, 0.7
Viewer, 0.35, 1.5, 0.7
Viewer, 0.35, 1.3, 0.7
